tweet_id,created_date,username,screen_name,followers_count,friends_count,retweet_count,retweeted_username,content_type,mentioned_users,text
1493092520330412034,Mon Feb 14 05:19:31 +0000 2022,Adam Clark,360Killer1,145,135,17,NWS Fort Worth,RT,['NWS Fort Worth'],RT @NWSFortWorth: Not much has changed with the forecast for the rain &amp; storm chances arriving Wednesday. We are monitoring the threat for…
1493092450172383232,Mon Feb 14 05:19:15 +0000 2022,Adam Clark,360Killer1,145,135,10,NWS Fort Worth,RT,['NWS Fort Worth'],RT @NWSFortWorth: Monday: Elevated fire weather conditions will be in place for most of North &amp; Central Texas.  Low relative humidity value…
1493092412809486337,Mon Feb 14 05:19:06 +0000 2022,Adam Clark,360Killer1,145,135,11,NWS Fort Worth,RT,['NWS Fort Worth'],"RT @NWSFortWorth: Tonight: Quiet and cool with lows falling into the 30s. Clear skies are expected, with winds mostly out of the south and…"
1493090616200282113,Mon Feb 14 05:11:57 +0000 2022,Starr County Town Crier,starrtowncrier,80,85,1,NWS Brownsville,RT,['NWS Brownsville'],RT @NWSBrownsville: Lots of high clouds to keep temperatures from falling to low tonight.  Nice Cool lows and light winds for all of Deep S…
1493088623033528320,Mon Feb 14 05:04:02 +0000 2022,"Plano, Texas Weather",PlanoWX,824,5,0,"Plano, Texas Weather",Tweet (self-loop),[],"11:00pm Night time/Dry/Clear skies, Temp 48F(H64/L30), Wind NW 4-&gt;22mph, Baro 30.30in, RainToday 0.00in, Hum 38% https://t.co/ETx76dQRWT #dfwwx #txwx #plano"
1493087614882258950,Mon Feb 14 05:00:02 +0000 2022,J. A. Q.,albertquiles,50,690,0,J. A. Q.,Tweet (self-loop),"['Weather Underground', 'The Weather Channel', 'Weathercloud']",#Weather #LongviexTX #KTXLONGV13 11:00 PM Temp= 39.4°F Wind= 0.0mph SW Rain= 0.00in @wunderground @weatherchannel @weathercloud #WX #TXWX
1493087611933675521,Mon Feb 14 05:00:01 +0000 2022,SachseWx,sachseweather,95,19,0,SachseWx,Tweet (self-loop),[],11:00 PM Weather Conditions at Sachse #dfwwx #txwx #sachsewx #sachse https://t.co/52fxsLvqR5
1493087609911975936,Mon Feb 14 05:00:01 +0000 2022,Lake Alan Henry Weather,lahwx,230,79,0,Lake Alan Henry Weather,Tweet (self-loop),[],"Lake Alan Henry - Justiceburg #TX @ 11:00 PM - Temp: 45 (H:67/L:24), Hum: 30 %, DP: 15,Wind: N 3 G 10.0 mph,Rain: 0.00 in. #txwx"
1493087440483061764,Mon Feb 14 04:59:20 +0000 2022,KLBK News,KLBKNews,12219,228,2,Jacob Riley - KLBK,RT,['Jacob Riley - KLBK'],"RT @jrileywx: Another round of rain, and possibly even snow is expected by the middle of the work week! Until then, fire weather conditions…"
1493087419050070021,Mon Feb 14 04:59:15 +0000 2022,KLBK Weather,KLBKWeather,442,5,2,Jacob Riley - KLBK,RT,['Jacob Riley - KLBK'],"RT @jrileywx: Another round of rain, and possibly even snow is expected by the middle of the work week! Until then, fire weather conditions…"
